Month,Building_Type,Building_Age,Building_Area_(sqm),Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Damage_Scale,Time_to_Extinguish_(min),Response_Time_(min),Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Fire_Safety_Training_Conducted,Nearest_Fire_Station_Location,Width_of_Nearby_Roads_(m),Distance_to_Nearby_Buildings_(m),Types_of_Nearby_Buildings,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
1,Residential,84,401,10,3,Yes,Chemical,Small,Small,24,48,5,9,Yes,7,6,No,West,18,46,Residential,No,No,Over 3 years,15.6,84.6,2.4,12.2
12,Residential,33,205,12,3,No,Negligence,Small,Large,16,3,44,7,No,2,0,No,East,9,73,Industrial,No,No,1-3 years,16.2,83.7,0.8,8.1
2,Industrial,56,483,25,7,Yes,Electrical,Small,Small,12,23,20,10,Yes,7,10,No,South,19,95,Public,No,No,Over 3 years,16.2,55.9,1.0,67.3
4,Commercial,57,124,24,7,Yes,Negligence,Large,Small,43,49,35,5,No,9,4,No,North,10,95,Industrial,Yes,Yes,Within 1 year,25.7,90.3,2.8,58.8
4,Residential,13,428,24,7,No,Negligence,Medium,Large,48,55,27,6,No,4,2,No,East,17,92,Commercial,No,No,Within 1 year,23.4,48.0,3.1,9.2
6,Residential,6,473,31,9,No,Negligence,Small,Large,22,2,5,8,No,5,3,No,South,10,82,Commercial,No,No,Within 1 year,15.4,45.0,2.3,8.1
1,Residential,12,884,26,7,No,Negligence,Large,Medium,25,8,3,9,Yes,8,6,No,South,20,48,Industrial,No,Yes,Within 1 year,16.1,83.9,2.3,15.2
9,Industrial,15,627,29,8,Yes,Chemical,Medium,Large,39,51,26,3,No,4,1,No,North,11,47,Public,No,No,Over 3 years,28.2,96.6,2.8,11.0
7,Residential,83,437,45,13,No,Chemical,Medium,Medium,45,50,9,8,No,13,10,Yes,East,20,45,Industrial,No,No,None,23.7,54.5,3.0,21.1
6,Commercial,84,669,30,9,Yes,Chemical,Small,Large,59,17,0,4,No,4,3,No,West,7,91,Commercial,Yes,Yes,Within 1 year,22.9,71.5,1.0,6.4
7,Residential,82,793,45,13,No,Electrical,Large,Small,42,51,36,2,Yes,16,6,No,South,9,14,Commercial,Yes,Yes,1-3 years,19.4,94.2,4.7,34.6
3,Residential,88,523,13,4,No,Chemical,Small,Small,36,23,20,8,Yes,5,6,No,South,2,43,Public,No,No,None,15.8,50.4,1.0,56.9
1,Residential,12,612,31,9,No,Chemical,Medium,Small,25,41,10,8,Yes,10,10,Yes,South,9,8,Industrial,Yes,Yes,Over 3 years,23.3,49.7,1.4,91.9
5,Commercial,76,514,5,1,No,Electrical,Small,Large,56,25,31,10,Yes,1,0,No,East,8,50,Commercial,No,No,None,17.9,80.5,4.0,22.1
6,Commercial,86,281,47,13,No,Chemical,Medium,Small,44,1,23,3,Yes,15,20,No,North,16,84,Industrial,Yes,Yes,1-3 years,23.6,98.9,1.3,24.2
2,Industrial,98,126,29,8,No,Electrical,Medium,Small,49,19,38,7,Yes,9,15,No,South,18,95,Commercial,No,Yes,None,27.2,77.5,1.2,14.7
1,Industrial,31,162,6,2,No,Negligence,Small,Small,36,34,46,4,Yes,2,10,No,South,5,6,Residential,No,No,Within 1 year,25.6,79.5,3.7,90.5
10,Commercial,4,465,14,4,Yes,Chemical,Large,Large,20,38,5,4,No,3,1,No,West,3,6,Industrial,No,No,None,19.8,72.8,3.6,12.2
9,Commercial,7,997,44,13,Yes,Electrical,Medium,Large,8,32,7,6,Yes,8,7,Yes,East,5,99,Residential,No,No,Within 1 year,28.9,74.6,1.8,12.3
1,Industrial,58,956,6,2,Yes,Chemical,Small,Small,53,22,38,3,Yes,6,9,No,East,14,38,Public,No,No,None,15.4,93.3,3.3,58.7
9,Residential,11,420,15,4,No,Negligence,Small,Small,46,57,23,5,No,8,7,No,South,16,32,Public,No,No,1-3 years,17.7,89.1,0.8,22.9
10,Industrial,82,693,35,10,Yes,Chemical,Large,Medium,8,33,13,9,Yes,8,9,No,East,12,26,Public,No,No,1-3 years,29.7,53.7,2.9,69.0
7,Residential,57,744,30,9,No,Electrical,Large,Small,13,14,1,10,Yes,10,16,No,West,12,29,Residential,No,No,Over 3 years,18.9,87.5,1.9,60.8
5,Residential,98,969,35,10,Yes,Chemical,Large,Large,57,2,13,1,No,2,5,No,South,18,92,Residential,Yes,Yes,Over 3 years,19.2,49.0,2.1,12.3
2,Residential,40,575,23,7,No,Chemical,Medium,Medium,20,4,34,7,No,6,7,No,South,10,53,Public,No,Yes,None,24.2,40.4,1.4,28.1
10,Residential,99,739,39,11,No,Negligence,Large,Medium,37,39,27,10,Yes,13,20,No,South,11,16,Residential,Yes,No,None,16.0,66.5,3.1,91.4
4,Residential,73,164,43,12,Yes,Chemical,Small,Small,41,29,44,9,Yes,13,1,Yes,West,12,3,Public,Yes,Yes,Over 3 years,21.1,89.9,1.0,80.8
12,Commercial,41,92,36,10,No,Chemical,Large,Medium,37,8,38,7,Yes,9,8,No,North,12,14,Commercial,Yes,Yes,Within 1 year,17.6,41.3,4.1,45.5
9,Commercial,97,813,17,5,No,Electrical,Medium,Small,22,3,44,7,Yes,6,10,No,West,10,96,Residential,Yes,No,1-3 years,24.0,42.5,4.5,15.2
2,Commercial,27,530,14,4,Yes,Chemical,Small,Large,57,9,29,5,No,2,4,No,South,19,88,Industrial,No,No,None,19.7,60.9,0.6,89.9
2,Industrial,44,420,18,5,Yes,Negligence,Medium,Large,34,11,37,5,Yes,3,2,No,North,18,78,Public,No,No,None,17.0,54.6,2.3,94.1
6,Industrial,8,371,44,13,Yes,Electrical,Large,Medium,25,29,44,2,Yes,12,10,Yes,East,20,73,Residential,Yes,Yes,Over 3 years,20.5,97.2,2.7,58.4
2,Residential,99,602,10,3,Yes,Chemical,Medium,Large,43,55,12,9,No,3,1,No,East,19,65,Public,No,No,None,15.1,64.7,4.9,36.3
6,Residential,27,418,8,2,No,Negligence,Medium,Small,43,1,19,9,Yes,2,6,No,East,6,27,Residential,No,No,Over 3 years,28.9,58.1,1.5,12.3
10,Residential,59,490,49,14,No,Negligence,Large,Small,38,39,25,8,Yes,17,20,Yes,West,17,93,Public,No,No,Over 3 years,27.3,90.5,2.5,21.3
4,Industrial,15,520,27,8,No,Negligence,Medium,Medium,23,52,22,5,No,7,15,Yes,North,8,85,Residential,No,No,Within 1 year,22.5,86.0,1.0,24.4
4,Commercial,94,814,19,5,No,Electrical,Small,Large,46,9,41,9,No,1,1,No,West,15,18,Residential,No,No,Within 1 year,20.4,70.6,0.9,12.3
4,Residential,40,589,36,10,No,Chemical,Large,Large,56,47,36,2,No,8,5,No,South,18,96,Residential,No,Yes,None,27.5,74.8,2.9,2.4
1,Commercial,69,367,33,9,Yes,Negligence,Medium,Large,27,29,24,1,Yes,3,6,No,South,4,52,Public,No,No,Over 3 years,15.8,56.8,4.5,2.3
9,Residential,64,157,26,7,Yes,Chemical,Medium,Medium,32,1,36,1,Yes,6,7,No,East,14,86,Commercial,No,No,None,20.8,48.9,4.1,23.2
1,Commercial,75,750,9,3,No,Negligence,Medium,Large,41,30,45,3,Yes,4,10,No,East,10,45,Public,No,No,Over 3 years,16.36003553347013,71.97406829377206,3.543632047791159,49.44733517856465
5,Commercial,23,622,13,4,Yes,Chemical,Small,Large,36,47,23,1,Yes,4,0,No,North,11,7,Residential,No,No,Within 1 year,15.85657312856038,73.21208578662264,4.804728842592688,46.9546654230843
3,Residential,99,997,39,11,Yes,Chemical,Large,Medium,43,27,11,8,Yes,13,14,No,South,20,17,Industrial,Yes,Yes,Over 3 years,21.32215312206589,63.248730108716494,3.6152936563290528,32.959905199201806
5,Residential,85,731,14,4,No,Negligence,Medium,Small,42,31,28,6,No,3,8,No,South,13,65,Public,No,No,1-3 years,25.409436209767325,43.72957383368596,3.3969211464291336,38.5970233170253
12,Residential,99,643,33,9,Yes,Chemical,Small,Small,59,2,50,1,Yes,8,6,No,West,19,81,Commercial,Yes,No,Over 3 years,28.43898253624624,72.12578559050479,2.966034646487544,24.774649611694944
9,Residential,91,564,39,11,No,Chemical,Medium,Small,49,39,23,3,No,6,6,No,North,2,90,Public,No,No,Over 3 years,27.874546336835397,73.94437550029448,2.4396559431836176,2.3
5,Commercial,4,226,49,14,No,Electrical,Medium,Small,43,18,15,5,No,13,14,Yes,North,17,99,Commercial,Yes,Yes,Within 1 year,23.506255983535063,93.3635985361742,0.7981920975211754,27.848555688357028
4,Industrial,45,616,18,5,No,Chemical,Small,Large,20,10,44,5,No,2,7,No,North,13,99,Public,No,No,Over 3 years,25.90013307303771,77.27728085705289,0.6,32.883237035392305
10,Commercial,86,264,19,5,Yes,Negligence,Small,Small,48,9,45,4,No,2,0,No,North,2,43,Industrial,Yes,Yes,Within 1 year,26.105133395216413,82.42097794883007,4.9,10.615557972374283
10,Commercial,25,221,18,5,No,Chemical,Large,Medium,57,13,47,6,No,2,0,No,North,9,3,Residential,No,No,Over 3 years,17.582364520777407,64.66441502330201,3.491031168639629,17.449754463517
8,Commercial,52,621,5,1,Yes,Negligence,Large,Large,27,34,27,8,No,2,8,No,East,14,42,Residential,No,No,Over 3 years,22.60582756540413,60.162215980218285,3.3243844152167683,50.21324975925928
3,Industrial,96,92,29,8,No,Negligence,Small,Small,58,28,50,7,No,10,7,No,North,7,45,Residential,Yes,Yes,Within 1 year,23.09570108106262,78.05195877014086,1.4585098224228643,70.80083340711705
9,Residential,87,735,23,7,No,Electrical,Small,Small,32,11,13,6,No,8,16,No,North,11,98,Commercial,Yes,Yes,1-3 years,26.18593566898669,82.2278107717273,3.4918528283449684,16.625210470770714
2,Residential,58,287,5,1,No,Chemical,Medium,Small,25,40,7,7,No,1,1,No,East,11,50,Public,No,No,None,17.014136815835986,64.23050273837472,2.2591437221681985,35.781985157722666
4,Residential,65,641,31,8,Yes,Chemical,Small,Medium,38,14,0,10,Yes,4,1,No,South,18,59,Residential,No,No,None,15.1,64.03534379531062,2.827777149191315,2.3
8,Industrial,6,317,17,5,No,Electrical,Medium,Medium,12,21,50,6,Yes,1,0,No,East,12,99,Residential,No,No,Over 3 years,15.1,74.10217402270617,1.4972259788053126,10.962117847117188
5,Residential,4,972,5,1,No,Chemical,Medium,Small,36,13,28,6,No,1,0,No,East,13,47,Residential,No,No,None,17.887038361385073,40.4,1.1969971168331095,28.75960474527893
4,Residential,45,845,12,4,No,Electrical,Large,Small,32,48,35,10,No,6,4,No,East,13,3,Public,No,No,Over 3 years,16.19871053106214,80.21863683048598,3.959915270810756,70.58764134708099
8,Commercial,89,332,37,10,No,Chemical,Large,Large,35,35,48,5,Yes,11,9,No,East,9,56,Commercial,No,Yes,Over 3 years,20.606419233872057,83.12198067046587,4.9,7.154731497046377
6,Residential,27,582,24,7,Yes,Negligence,Small,Large,27,36,9,6,Yes,7,9,No,East,4,99,Industrial,Yes,Yes,1-3 years,23.84304174658847,88.57058433021828,2.105606336414772,23.67418747474041
11,Residential,99,223,19,5,No,Negligence,Medium,Large,16,14,33,8,Yes,6,7,No,North,2,32,Commercial,Yes,No,Within 1 year,23.478074331673525,68.3318400518395,2.7570826965774557,8.298692168922013
2,Residential,4,396,39,11,No,Negligence,Medium,Small,15,30,18,4,Yes,9,2,No,South,11,99,Residential,No,Yes,1-3 years,15.1,40.4,3.587681056865879,17.600536367163063
5,Residential,74,723,28,8,No,Negligence,Small,Small,59,8,25,5,No,5,10,No,South,11,35,Public,Yes,Yes,Over 3 years,15.1,46.58882957192034,2.431249547831106,56.11516993352197
6,Commercial,35,855,37,11,No,Chemical,Small,Large,36,38,31,3,Yes,5,9,No,South,9,56,Public,No,No,Within 1 year,24.002378416739123,71.34138590790383,3.5707419097559208,7.850583280515874
1,Residential,58,467,15,5,Yes,Chemical,Small,Small,30,41,0,5,Yes,5,4,No,South,11,38,Residential,No,Yes,None,16.774349602124598,59.37215223794124,2.3851565111868824,45.90207638936254
6,Commercial,48,578,34,9,No,Chemical,Small,Medium,59,51,44,3,No,9,0,No,North,20,99,Public,No,No,Over 3 years,18.08588910858817,88.68752772729871,2.53841196427093,11.823920011599242
9,Industrial,99,335,34,9,No,Negligence,Large,Large,13,18,45,10,Yes,5,6,No,East,6,8,Public,No,No,Over 3 years,20.204529342905914,51.0430969716042,3.943204891878004,35.997407908989324
2,Residential,37,748,9,3,No,Negligence,Medium,Large,25,22,21,8,No,1,0,No,South,13,90,Commercial,No,No,None,16.742723676843703,40.4,2.8429346695696136,33.455198056255256
8,Commercial,50,455,25,7,No,Chemical,Medium,Small,43,42,45,2,No,5,1,No,West,11,13,Residential,No,No,Over 3 years,22.483808688732985,99.4,2.542713941628369,2.3
6,Residential,30,794,9,3,Yes,Chemical,Small,Small,59,17,36,1,No,1,6,No,North,14,99,Residential,No,No,None,23.069202523678698,84.15009077231133,0.6,28.03548554103607
9,Residential,41,135,31,8,No,Chemical,Medium,Medium,33,43,29,2,No,9,6,Yes,East,5,10,Public,No,No,None,24.390095802338955,76.05705388518376,4.021016659299118,39.38592680295165
10,Commercial,26,646,20,6,Yes,Negligence,Small,Large,41,38,27,8,No,5,8,No,South,4,62,Public,No,No,Over 3 years,26.165117722243025,85.76896009986959,2.121600745087568,18.003388982823488
3,Residential,99,694,37,11,Yes,Negligence,Medium,Small,50,48,0,7,Yes,10,4,No,East,15,50,Residential,No,Yes,Over 3 years,17.15378027401078,61.23664546079621,2.3694230352622894,56.9430499500689
5,Residential,97,682,39,11,No,Negligence,Medium,Small,30,7,20,9,Yes,15,15,No,South,8,72,Commercial,Yes,Yes,Within 1 year,19.2174706306444,69.23527473828084,3.353867196516635,31.74987795775825
3,Commercial,84,683,19,5,Yes,Negligence,Medium,Small,38,34,42,5,Yes,7,8,No,East,12,55,Residential,No,No,Over 3 years,15.1,65.40192357323404,4.18282944077825,23.02050629051483
9,Residential,30,974,40,11,No,Chemical,Small,Large,37,54,26,6,No,10,7,No,South,15,37,Public,No,No,None,23.866434365753804,65.66956124883203,1.6568270282619872,20.68770930323497
10,Residential,8,359,39,12,No,Chemical,Small,Medium,8,54,22,9,No,11,4,No,East,4,45,Public,No,No,Within 1 year,23.715560542407157,58.33587295875524,3.818194742586409,25.21231276772582
4,Residential,47,92,40,11,No,Negligence,Large,Large,31,4,39,6,No,5,2,No,South,4,82,Industrial,No,Yes,1-3 years,19.07446975506741,66.37280163975325,0.6144861675121693,18.249878447376805
1,Commercial,91,221,5,1,Yes,Chemical,Medium,Large,59,21,25,5,No,1,1,No,West,18,89,Public,No,No,None,16.94080245039869,78.96398875044929,2.691753047983908,31.045857373274945
6,Residential,36,566,28,8,No,Negligence,Large,Medium,42,27,39,9,No,7,2,No,South,15,75,Industrial,No,Yes,Over 3 years,17.303603350147228,56.62802827644696,1.8405044582294676,13.5807681387322
2,Residential,99,438,45,13,No,Chemical,Small,Large,58,43,20,4,Yes,11,10,No,South,20,87,Industrial,No,Yes,None,17.534441449452878,63.67896069444158,2.730568791998671,33.44498339866468
8,Residential,23,606,25,8,No,Electrical,Large,Small,8,18,29,4,Yes,6,14,No,West,14,50,Residential,No,No,Over 3 years,18.386552239395183,87.37688216368,2.7886150607312907,47.288850526488645
6,Residential,26,801,49,14,No,Chemical,Large,Large,31,7,0,9,Yes,17,20,Yes,South,7,59,Industrial,Yes,Yes,None,17.09640449060953,53.356320200730025,0.6,44.16713763124341
10,Industrial,48,583,49,14,No,Negligence,Small,Large,8,8,31,9,Yes,12,15,No,East,7,65,Residential,No,No,Over 3 years,24.37719852583202,77.89403759604453,1.4601979508711016,51.6399284611465
10,Residential,48,460,23,7,No,Negligence,Large,Small,25,30,20,7,Yes,11,6,No,North,16,33,Commercial,Yes,Yes,Over 3 years,18.410310745410992,82.55464328740081,3.1773785050040773,35.15656623826496
5,Commercial,59,473,18,5,Yes,Negligence,Small,Large,47,13,20,4,No,3,0,No,East,12,82,Residential,No,No,None,20.79941327367458,86.46035498823056,2.950453671583217,44.89567593986874
6,Residential,25,684,26,7,Yes,Chemical,Small,Large,52,2,16,1,No,3,0,No,North,12,82,Residential,Yes,Yes,Over 3 years,20.10527696436668,66.51052390346962,2.659968642448778,4.937372978080639
2,Commercial,72,92,49,14,Yes,Chemical,Small,Small,8,32,13,10,Yes,14,20,No,South,14,90,Residential,No,No,Within 1 year,23.21254850919224,64.72939742108714,0.6,41.93512654284044
11,Industrial,59,436,44,12,Yes,Chemical,Large,Large,23,15,38,9,Yes,11,18,No,North,14,16,Public,Yes,No,Over 3 years,22.9345620728894,48.93728584158888,4.285302181001016,86.92764955712228
7,Commercial,59,558,49,14,No,Chemical,Small,Large,27,1,28,3,No,8,17,No,East,7,32,Public,Yes,Yes,Over 3 years,20.41425271130449,49.5226992148042,2.4000020036642007,49.28019737023981
4,Industrial,73,694,24,7,No,Electrical,Small,Medium,35,43,44,7,No,5,6,No,South,14,38,Residential,No,No,1-3 years,25.72126352652156,84.19186027919423,2.615688412656747,31.61862843693431
2,Commercial,90,798,29,8,No,Chemical,Medium,Large,59,57,13,6,No,4,4,No,North,20,18,Public,No,No,None,23.328397115003654,78.13720019984153,4.003703111778421,30.599625332902715
5,Commercial,97,925,20,6,Yes,Electrical,Large,Large,52,32,15,5,No,4,0,No,North,11,94,Commercial,Yes,Yes,Within 1 year,20.04800290231433,91.46357247471614,4.9,2.3
4,Residential,76,576,27,8,No,Electrical,Small,Small,34,1,40,10,Yes,11,17,No,East,16,72,Residential,No,No,Within 1 year,15.1,67.41250247803971,2.965279353856805,63.52268226627401
6,Commercial,48,92,24,6,Yes,Negligence,Large,Small,32,10,13,4,Yes,2,4,No,East,16,30,Commercial,No,No,1-3 years,21.881876446025483,61.606521067552166,1.2152498934094935,33.811860547601
3,Commercial,19,439,23,6,No,Negligence,Large,Small,23,27,32,6,Yes,8,14,No,South,7,17,Residential,No,Yes,1-3 years,29.629117334750063,99.4,0.9500948955504288,48.41107311082223
6,Commercial,58,751,29,8,Yes,Chemical,Large,Large,36,50,25,4,Yes,10,15,No,East,19,54,Public,No,No,None,24.77784323748508,99.4,1.3201366300332973,65.10466376681225
3,Industrial,90,390,36,10,Yes,Negligence,Medium,Large,24,50,9,3,Yes,11,20,No,East,15,69,Industrial,No,No,None,24.9900203088876,77.5819396043355,4.874456347669666,42.43936901676256
12,Commercial,4,111,31,9,No,Negligence,Small,Large,14,17,50,4,No,6,1,No,West,8,49,Residential,No,No,1-3 years,28.3599176009547,60.72458576008812,3.2390880386851504,2.3
8,Residential,75,256,28,8,No,Chemical,Large,Small,34,38,33,2,No,8,5,No,South,14,73,Residential,Yes,Yes,Over 3 years,20.833350516624783,75.96827210504613,2.639371297439784,16.286842792225844
12,Commercial,74,92,44,13,No,Negligence,Small,Small,29,3,44,4,Yes,10,6,No,North,2,51,Commercial,Yes,No,Within 1 year,29.183896540038223,73.8323307755373,3.640960068169447,28.677074143931613
11,Commercial,26,755,34,10,No,Negligence,Small,Medium,31,26,50,1,Yes,7,6,No,East,10,89,Public,No,No,Over 3 years,25.522966589166508,69.90821561214665,2.781585240203891,13.173811409954691
10,Commercial,4,339,5,1,No,Chemical,Small,Medium,34,38,37,8,No,1,0,No,West,2,3,Public,No,No,None,20.095981606180327,89.24027084739978,1.805561799439376,41.498784106998265
1,Industrial,59,201,16,4,Yes,Negligence,Small,Small,20,21,44,7,Yes,6,12,No,East,20,86,Residential,No,No,None,26.65914576255524,79.81413359843724,1.084540156746871,67.077145141838
8,Commercial,69,334,29,8,No,Negligence,Small,Large,30,37,34,7,Yes,6,5,No,West,5,3,Public,No,No,Within 1 year,15.556488005426818,64.01209011382706,2.369380844019444,61.49836977012818
5,Industrial,79,607,9,3,Yes,Chemical,Medium,Medium,35,39,27,7,No,1,5,No,West,7,45,Public,No,No,None,23.98586289193637,60.95849090267885,3.02023413575794,20.46596167495803
8,Residential,90,447,21,6,No,Chemical,Medium,Large,35,43,48,6,No,7,4,No,North,17,66,Public,No,No,None,21.426116723605315,56.20649422512553,3.1476479179038903,43.17137618482377
4,Residential,99,572,36,10,No,Chemical,Small,Small,43,1,25,6,Yes,9,3,No,West,14,50,Public,No,Yes,None,20.936718201231937,72.87110446159437,2.3922583816629657,12.943833562038993
1,Commercial,44,762,27,8,No,Chemical,Medium,Small,52,38,16,6,Yes,6,2,No,South,13,67,Public,No,No,None,17.41082352646591,57.41342825352552,3.796311546145716,14.395980943090482
6,Industrial,13,592,38,11,Yes,Chemical,Large,Small,9,36,17,5,No,8,16,No,East,7,51,Public,No,No,Over 3 years,25.85515328218238,91.7958773909664,2.815842504902024,61.34601447128827
6,Industrial,22,388,38,11,Yes,Negligence,Medium,Large,37,44,32,2,Yes,11,5,No,West,11,34,Residential,Yes,Yes,1-3 years,29.7,92.57238855547986,4.170111976515065,67.70507118923521
3,Commercial,29,282,17,5,Yes,Chemical,Medium,Large,57,18,44,6,No,2,0,No,West,19,80,Industrial,No,No,Over 3 years,27.758955475498396,65.89371741188374,2.376332941707735,14.541567808689166
4,Residential,85,997,25,7,Yes,Chemical,Small,Small,39,34,23,9,No,12,16,No,South,20,99,Residential,Yes,Yes,None,29.7,49.15976093080289,2.547602118258179,36.02011779196111
6,Commercial,7,361,27,7,Yes,Electrical,Medium,Large,29,34,18,4,No,4,3,No,West,7,46,Residential,No,No,Over 3 years,19.265079356902817,85.14858864574205,3.154515196196265,60.85166115114683
7,Commercial,59,714,5,1,No,Negligence,Medium,Large,37,39,39,8,No,1,0,No,North,8,18,Public,No,No,None,19.303329748774704,75.53506609344907,2.064484937388344,54.91484851434964
5,Commercial,6,400,29,8,No,Electrical,Small,Small,12,50,9,9,No,9,10,Yes,West,8,57,Residential,No,No,Within 1 year,27.917673454528405,94.8080776705174,0.6,29.15581036441571
3,Residential,4,490,18,5,No,Chemical,Medium,Medium,39,4,35,10,No,4,0,No,South,10,46,Residential,No,Yes,Over 3 years,15.1,63.17091685646184,0.6,25.98325646255164
3,Residential,62,617,5,1,No,Chemical,Medium,Small,12,38,10,7,Yes,2,7,No,South,9,44,Public,No,No,None,21.275862924142643,62.11223278969875,2.284494184932599,43.58955649003916
3,Residential,4,760,26,8,Yes,Chemical,Small,Small,47,38,4,4,No,5,0,Yes,East,8,99,Residential,No,No,Within 1 year,24.35703879844348,89.84885380318238,2.269365066092321,64.7042534067507
7,Commercial,52,520,22,7,No,Electrical,Small,Small,58,23,50,6,No,7,6,No,East,4,84,Residential,No,No,Within 1 year,25.533616279129795,99.29998616617846,2.8925173083350826,19.758388370430897
3,Commercial,59,291,15,4,No,Negligence,Medium,Small,52,9,19,3,Yes,7,13,No,East,8,32,Industrial,No,No,Within 1 year,28.700386880046874,70.82852952024867,3.200724015124597,41.88995934280327
4,Commercial,4,170,22,7,No,Negligence,Small,Large,22,45,36,9,Yes,6,0,No,West,9,30,Residential,No,No,Over 3 years,17.22477842796925,72.45263099494649,2.58333429531232,45.78468484793075
4,Commercial,83,553,11,3,No,Chemical,Small,Large,42,27,35,5,No,4,6,No,East,18,36,Public,No,No,Within 1 year,18.1233114720548,84.5825644719284,2.763852565018547,42.040465479523874
9,Commercial,61,92,26,7,No,Negligence,Large,Large,20,1,50,5,Yes,9,6,No,East,7,32,Commercial,No,Yes,Within 1 year,15.307261236321091,70.69119581164118,4.9,2.3
8,Residential,26,997,20,6,Yes,Chemical,Small,Large,33,20,5,7,Yes,6,2,No,South,14,40,Commercial,No,Yes,Over 3 years,21.19373138264775,50.58318596967335,4.490135058368709,35.53146685546984
9,Commercial,59,706,19,6,No,Negligence,Small,Small,41,53,31,6,Yes,8,12,No,East,12,27,Public,No,No,Over 3 years,23.819188570360737,99.26628878428473,1.3749109851585366,78.63208554981551
7,Commercial,56,628,15,4,No,Chemical,Small,Small,45,23,33,1,Yes,3,4,No,West,3,5,Residential,Yes,No,Within 1 year,22.920803847624978,86.8201234884719,3.318068162726352,18.084070098947706
2,Commercial,81,230,21,6,Yes,Chemical,Small,Large,44,18,21,8,No,6,6,No,North,17,38,Industrial,Yes,Yes,Within 1 year,19.26941113434748,54.69683157130602,3.2880014682173484,56.498113106857744
1,Commercial,41,92,23,7,No,Negligence,Small,Small,34,35,43,6,Yes,8,9,No,South,12,25,Residential,No,No,Over 3 years,16.48692302496817,54.61400607540169,2.980234586204405,78.48222075579937
5,Commercial,23,612,16,5,Yes,Negligence,Small,Large,34,30,3,2,No,5,9,No,North,16,71,Residential,No,No,1-3 years,21.60148452593669,99.4,0.6,18.37646509976354
6,Commercial,49,474,24,7,No,Negligence,Small,Medium,12,5,24,10,No,4,4,No,East,2,46,Residential,No,No,None,15.309825599636069,48.60055061247324,2.2837327902564315,35.821489812837655
2,Industrial,99,473,15,4,Yes,Chemical,Small,Small,48,25,50,1,No,2,5,No,East,11,92,Public,No,No,None,24.986248498693005,80.68136221429528,3.981529371929968,30.11599593023896
6,Commercial,85,683,22,6,Yes,Negligence,Large,Small,38,20,27,4,Yes,7,8,No,South,15,84,Public,No,Yes,Over 3 years,16.60188898772299,74.61134131161658,4.057723888287242,52.09033537833055
5,Industrial,48,532,23,7,Yes,Negligence,Small,Large,34,34,2,6,No,3,2,No,East,10,99,Commercial,No,Yes,Within 1 year,24.085263410023664,81.14244104877304,1.850724931777387,9.53247916270951
